Linux 4.19.13 (tos-Standard-PC-i440FX-PIIX-1996)        Monday 02 March 2020    _x86_64_        (2 CPU)

11:43:36  IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:43:37  IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:43:38  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:43:39  IST     all      0.00      0.00      1.00      0.00      0.00     99.00
11:43:40  IST     all      0.50      0.00      6.50      0.50      0.00     92.50
11:43:41  IST     all      0.00      0.00     50.00      0.00      0.00     50.00
11:43:42  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:43:43  IST     all      0.00      0.00     50.52      0.00      0.00     49.48
11:43:44  IST     all      0.00      0.00     50.00      0.00      0.00     50.00
11:43:45  IST     all      0.00      0.00     50.00      0.00      0.00     50.00
11:43:46  IST     all      0.00      0.00     50.00      0.00      0.00     50.00
11:43:47  IST     all      0.00      0.00     50.50      0.00      0.00     49.50
11:43:48  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:43:49  IST     all      0.00      0.00     50.50      0.00      0.00     49.50
11:43:50  IST     all      0.50      0.00     50.00      0.00      0.00     49.50
11:43:51  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:43:52  IST     all      0.00      0.00     50.00      0.00      0.00     50.00
11:43:53  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:43:54  IST     all      0.00      0.00     50.99      0.00      0.00     49.01
11:43:55  IST     all      0.00      0.00     50.00      0.00      0.00     50.00
11:43:56  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:43:57  IST     all      0.00      0.00     50.75      0.00      0.00     49.25
11:43:58  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:43:59  IST     all      0.00      0.00     50.00      0.00      0.00     50.00

11:43:59  IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:44:00  IST     all      0.00      0.00     50.75      0.00      0.00     49.25
11:44:01  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:02  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:03  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:04  IST     all      0.00      0.00     50.75      0.00      0.00     49.25
11:44:05  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:06  IST     all      0.00      0.00     50.00      0.00      0.00     50.00
11:44:07  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:08  IST     all      0.00      0.00     49.75      0.00      0.00     50.25
11:44:09  IST     all      0.00      0.00     50.50      0.00      0.00     49.50
11:44:10  IST     all      0.49      0.00     50.25      0.00      0.00     49.26
11:44:11  IST     all      0.00      0.00     50.50      0.00      0.00     49.50
11:44:12  IST     all      0.00      0.00     50.50      0.00      0.00     49.50
11:44:13  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:14  IST     all      0.00      0.00     49.75      0.00      0.00     50.25
11:44:15  IST     all      0.00      0.00     50.00      0.00      0.00     50.00
11:44:16  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:17  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:18  IST     all      0.00      0.00     50.00      0.00      0.00     50.00
11:44:19  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:20  IST     all      0.00      0.00     50.00      0.00      0.00     50.00
11:44:21  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:22  IST     all      0.00      0.00     51.78      0.51      0.00     47.72

11:44:22  IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:44:23  IST     all      0.00      0.00     50.75      0.00      0.00     49.25
11:44:24  IST     all      0.00      0.00     50.75      0.00      0.00     49.25
11:44:25  IST     all      0.00      0.00     50.99      0.00      0.00     49.01
11:44:26  IST     all      0.00      0.00     50.00      0.00      0.00     50.00
11:44:27  IST     all      0.50      0.00     49.75      0.00      0.00     49.75
11:44:28  IST     all      0.00      0.00     50.25      0.50      0.00     49.25
11:44:29  IST     all      0.00      0.00     49.75      0.00      0.00     50.25
11:44:30  IST     all      0.00      0.00     50.50      0.00      0.00     49.50
11:44:31  IST     all      0.00      0.00     50.00      0.00      0.00     50.00
11:44:32  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:33  IST     all      0.00      0.00     50.50      0.00      0.00     49.50
11:44:34  IST     all      0.00      0.00     50.74      0.00      0.00     49.26
11:44:35  IST     all      0.00      0.00     50.50      0.00      0.00     49.50
11:44:36  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:37  IST     all      0.00      0.00     50.50      0.00      0.00     49.50
11:44:38  IST     all      0.00      0.00     50.50      0.00      0.00     49.50
11:44:39  IST     all      0.00      0.00     50.50      0.00      0.00     49.50
11:44:40  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:41  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:42  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:43  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:44  IST     all      0.00      0.00     50.74      0.00      0.00     49.26
11:44:45  IST     all      0.00      0.00     50.99      0.00      0.00     49.01

11:44:45  IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:44:46  IST     all      0.00      0.00     49.75      0.00      0.00     50.25
11:44:47  IST     all      0.00      0.00     50.25      0.00      0.00     49.75
11:44:48  IST     all      0.00      0.00     50.50      0.00      0.00     49.50
11:44:49  IST     all      0.00      0.00     50.00      0.00      0.00     50.00
11:44:50  IST     all      0.50      0.00     50.25      0.00      0.00     49.25
11:44:51  IST     all      0.00      0.00     49.49      0.00      0.00     50.51
11:44:52  IST     all      0.00      0.00     50.75      0.00      0.00     49.25
11:44:53  IST     all      0.00      0.00     50.50      0.00      0.00     49.50
11:44:54  IST     all      0.00      0.00     50.51      0.00      0.00     49.49
11:44:55  IST     all      0.00      0.00     50.00      0.00      0.00     50.00
11:44:56  IST     all      0.00      0.00     49.75      0.00      0.00     50.25
11:44:57  IST     all      0.00      0.00     50.50      0.00      0.00     49.50
11:44:58  IST     all      0.00      0.00     46.23      0.00      0.00     53.77
11:44:59  IST     all      0.00      0.00      0.00      0.50      0.00     99.50
11:45:00  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:45:01  IST     all      0.50      0.00      0.00      0.00      0.00     99.50
