Linux 4.19.13 (tos-Standard-PC-i440FX-PIIX-1996)        Monday 02 March 2020    _x86_64_        (2 CPU)

11:45:53  IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:45:54  IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:45:55  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:45:56  IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:45:57  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:45:58  IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:45:59  IST     all      0.50      0.00      0.50      0.00      0.00     99.00
11:46:00  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:46:01  IST     all      0.50      0.00      2.01      0.00      0.00     97.49
11:46:02  IST     all      0.00      0.00      1.00      0.00      0.00     99.00
11:46:03  IST     all      0.00      0.00      1.01      0.00      0.00     98.99
11:46:04  IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:46:05  IST     all      0.50      0.00      0.50      0.00      0.00     99.00
11:46:06  IST     all      0.00      0.00      1.02      0.51      0.00     98.48
11:46:07  IST     all      0.00      0.00      1.01      0.00      0.00     98.99
11:46:08  IST     all      0.51      0.00      0.51      0.00      0.00     98.99
11:46:09  IST     all      0.00      0.00      1.01      0.00      0.00     98.99
11:46:10  IST     all      0.00      0.00      0.51      0.00      0.00     99.49
11:46:11  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:46:12  IST     all      0.00      0.00      1.51      1.01      0.00     97.49
11:46:13  IST     all      0.50      0.00      0.00      0.00      0.00     99.50
11:46:14  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:46:15  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:46:16  IST     all      0.00      0.00      1.49      0.00      0.00     98.51

11:46:16  IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:46:17  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:46:18  IST     all      0.00      0.00      1.01      0.00      0.00     98.99
11:46:19  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:46:20  IST     all      0.00      0.00      0.51      0.00      0.00     99.49
11:46:21  IST     all      0.50      0.00      0.50      0.00      0.00     99.00
11:46:22  IST     all      0.00      0.00      0.51      0.00      0.00     99.49
11:46:23  IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:46:24  IST     all      0.50      0.00      0.50      0.00      0.00     99.00
11:46:25  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:46:26  IST     all      0.00      0.00      1.02      0.00      0.00     98.98
11:46:27  IST     all      0.00      0.00      0.51      0.00      0.00     99.49
11:46:28  IST     all      0.50      0.00      1.49      0.00      0.00     98.02
11:46:29  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:46:30  IST     all      0.50      0.00      0.50      0.00      0.00     98.99
11:46:31  IST     all      0.00      0.00      0.51      0.00      0.00     99.49
11:46:32  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:46:33  IST     all      0.00      0.00      0.51      0.51      0.00     98.98
11:46:34  IST     all      0.50      0.00      0.50      0.00      0.00     99.00
11:46:35  IST     all      0.00      0.00      0.51      0.00      0.00     99.49
11:46:36  IST     all      0.00      0.00      1.00      0.00      0.00     99.00
11:46:37  IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:46:38  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:46:39  IST     all      0.00      0.00      0.51      0.00      0.00     99.49

11:46:39  IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:46:40  IST     all      0.50      0.00      0.50      0.00      0.00     99.00
11:46:41  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:46:42  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:46:43  IST     all      0.00      0.00      1.00      0.00      0.00     99.00
11:46:44  IST     all      0.00      0.00      0.51      0.00      0.00     99.49
11:46:45  IST     all      0.50      0.00      0.50      0.00      0.00     98.99
11:46:46  IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:46:47  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:46:48  IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:46:49  IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:46:50  IST     all      0.50      0.00      0.50      0.00      0.00     99.01
11:46:51  IST     all      0.00      0.00      0.00      0.00      0.00    100.00
