Linux 4.19.13 (tos-Standard-PC-i440FX-PIIX-1996)        Monday 02 March 2020    _x86_64_        (2 CPU)

11:49:22  IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:49:23  IST     all      0.00      0.00     49.24      0.00      0.00     50.76
11:49:24  IST     all      0.00      0.00     48.98      0.00      0.00     51.02
11:49:25  IST     all      0.00      0.00     49.23      0.00      0.00     50.77
11:49:26  IST     all      0.00      0.00     49.24      0.00      0.00     50.76
11:49:27  IST     all      0.00      0.00     49.23      0.00      0.00     50.77
11:49:28  IST     all      0.00      0.00     49.49      0.00      0.00     50.51
11:49:29  IST     all      0.51      0.00     49.49      0.00      0.00     50.00
11:49:30  IST     all      0.00      0.00     49.24      0.00      0.00     50.76
11:49:31  IST     all      0.00      0.00     49.49      0.00      0.00     50.51
11:49:32  IST     all      0.00      0.00     49.24      0.00      0.00     50.76
11:49:33  IST     all      0.00      0.00     49.49      1.02      0.00     49.49
11:49:34  IST     all      0.00      0.00     49.24      0.00      0.00     50.76
11:49:35  IST     all      0.00      0.00     48.97      0.00      0.00     51.03
11:49:36  IST     all      0.00      0.00     49.24      0.00      0.00     50.76
11:49:37  IST     all      0.00      0.00      2.01      0.00      0.00     97.99
11:49:38  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:49:39  IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:49:40  IST     all      0.50      0.00      0.00      0.00      0.00     99.50
