Linux 4.19.13 (tos-Standard-PC-i440FX-PIIX-1996)        Monday 02 March 2020    _x86_64_        (2 CPU)

11:50:10  IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:50:11  IST     all      0.00      0.00      1.00      0.00      0.00     99.00
11:50:12  IST     all      0.50      0.00      0.00      0.00      0.00     99.50
11:50:13  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:50:14  IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:50:15  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:50:16  IST     all      0.00      0.00     26.67      0.00      0.00     73.33
11:50:17  IST     all      0.00      0.00     44.79      0.00      0.00     55.21
11:50:18  IST     all      0.00      0.00     43.48      0.00      0.00     56.52
11:50:19  IST     all      0.00      0.00     46.15      0.00      0.00     53.85
11:50:20  IST     all      0.00      0.00     46.15      0.00      0.00     53.85
11:50:21  IST     all      0.51      0.00     46.19      0.00      0.00     53.30
11:50:22  IST     all      0.00      0.00     46.70      0.51      0.00     52.79
11:50:23  IST     all      0.00      0.00     46.67      0.00      0.00     53.33
11:50:24  IST     all      0.00      0.00     46.70      0.00      0.00     53.30
11:50:25  IST     all      0.00      0.00     46.15      0.00      0.00     53.85
11:50:26  IST     all      0.00      0.00     46.15      0.00      0.00     53.85
11:50:27  IST     all      0.00      0.00     46.67      0.00      0.00     53.33
11:50:28  IST     all      0.00      0.00     46.43      0.00      0.00     53.57
11:50:29  IST     all      0.00      0.00     46.43      0.00      0.00     53.57
11:50:30  IST     all      0.00      0.00     46.43      0.00      0.00     53.57
11:50:31  IST     all      0.00      0.00     46.43      0.00      0.00     53.57
11:50:32  IST     all      0.00      0.00     46.15      0.00      0.00     53.85
11:50:33  IST     all      0.51      0.00     46.70      0.00      0.00     52.79

11:50:33  IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:50:34  IST     all      0.00      0.00     46.70      0.00      0.00     53.30
11:50:35  IST     all      0.00      0.00     32.99      0.00      0.00     67.01
11:50:36  IST     all      0.00      0.00      0.50      0.00      0.00     99.50
11:50:37  IST     all      0.00      0.00      0.00      0.00      0.00    100.00
11:50:38  IST     all      0.00      0.00      0.00      0.00      0.00    100.00
